post_id,published,category,title,url,note,body_hash,images,image_errors
741,2026-03-22T18:02:18+09:00,📚 창작·콘텐츠,카카오톡 이모티콘 - 아이디어부터 심사 등록까지 실제 제작 흐름,https://agapeuni.tistory.com/741,32 블로그/티스토리 Vento AI Lab/글/📚 창작·콘텐츠/2026-03-22 741 카카오톡 이모티콘 - 아이디어부터 심사 등록까지 실제 제작 흐름.md,c3da63fab9669f056136cfd0a67dfa11c7fd4903e070a30027d5bc755d32d110,9,0
742,2026-03-22T18:19:20+09:00,📚 창작·콘텐츠,카카오톡 이모티콘 - 카카오 제안 전 반드시 알아야 할 준비 과정,https://agapeuni.tistory.com/742,32 블로그/티스토리 Vento AI Lab/글/📚 창작·콘텐츠/2026-03-22 742 카카오톡 이모티콘 - 카카오 제안 전 반드시 알아야 할 준비 과정.md,38f31c17cbc018e7c180e4adce5d9d92e6ace11d3dfd7616d7b22a9b5d0519fb,6,0
764,2026-05-08T04:23:14+09:00,🎬 멀티모달 생성 AI/동영상 생성 AI,"생성형 AI 도구 - OpenAI Sora, Luma AI 비교",https://agapeuni.tistory.com/764,"32 블로그/티스토리 Vento AI Lab/글/🎬 멀티모달 생성 AI/동영상 생성 AI/2026-05-08 764 생성형 AI 도구 - OpenAI Sora, Luma AI 비교.md",c4fb73afae731be7d2cbc9290b427737cd1cb657a9cd99be7bf33e660ef123df,10,0
765,2026-05-08T04:24:01+09:00,🎬 멀티모달 생성 AI/동영상 생성 AI,MyHeritage - 사진을 올리면 자동으로 움직이는 영상을 생성,https://agapeuni.tistory.com/765,32 블로그/티스토리 Vento AI Lab/글/🎬 멀티모달 생성 AI/동영상 생성 AI/2026-05-08 765 MyHeritage - 사진을 올리면 자동으로 움직이는 영상을 생성.md,7d65a93779909ff743c79000f37849fb582d2478f0200c70fd66f59d7025464d,9,0
766,2026-05-08T04:24:32+09:00,🎬 멀티모달 생성 AI/동영상 생성 AI,동영상 생성 AI - 초보자를 위한 AI 프롬프트 작성법,https://agapeuni.tistory.com/766,32 블로그/티스토리 Vento AI Lab/글/🎬 멀티모달 생성 AI/동영상 생성 AI/2026-05-08 766 동영상 생성 AI - 초보자를 위한 AI 프롬프트 작성법.md,83b97aa1d6b386830711d8bf420a3744a914da92f093e0ad625f70f0e328c0e6,7,0
767,2026-05-08T04:27:22+09:00,👩🏻‍🤝‍🧑🏻 Vento Crew,"AI 가장 직원 - 하니 사원, 21세 여성 (동화 실습 작가)",https://agapeuni.tistory.com/767,"32 블로그/티스토리 Vento AI Lab/글/👩🏻‍🤝‍🧑🏻 Vento Crew/2026-05-08 767 AI 가장 직원 - 하니 사원, 21세 여성 (동화 실습 작가).md",80d31a944ee42294efb5bcccc2c2b959b8221ad8ccda9612c153cef91f336533,8,0
768,2026-05-08T04:27:48+09:00,👩🏻‍🤝‍🧑🏻 Vento Crew,"AI 가상 직원 - 주한 대리, 22세 남성 (워크플로우 엔지니어)",https://agapeuni.tistory.com/768,"32 블로그/티스토리 Vento AI Lab/글/👩🏻‍🤝‍🧑🏻 Vento Crew/2026-05-08 768 AI 가상 직원 - 주한 대리, 22세 남성 (워크플로우 엔지니어).md",3032eea143a608ed14cf08256ac02bd443891b6a5c3f142f63f3c9332cc5bcde,8,0
769,2026-05-08T04:28:12+09:00,👩🏻‍🤝‍🧑🏻 Vento Crew,"AI 가상 직원 - 웨이 과장, 24세 여성 (동화 전문 작가)",https://agapeuni.tistory.com/769,"32 블로그/티스토리 Vento AI Lab/글/👩🏻‍🤝‍🧑🏻 Vento Crew/2026-05-08 769 AI 가상 직원 - 웨이 과장, 24세 여성 (동화 전문 작가).md",4a1f2cda92fb18a072bd2d1ea00bcde1de78b1ac4f7b4ef32d9332af0d3a30df,8,0
770,2026-05-08T04:28:36+09:00,👩🏻‍🤝‍🧑🏻 Vento Crew,"AI 가상 직원 - 주아 차장, 29세 여성 (콘텐츠 사업 총괄 / 운영 PM)",https://agapeuni.tistory.com/770,"32 블로그/티스토리 Vento AI Lab/글/👩🏻‍🤝‍🧑🏻 Vento Crew/2026-05-08 770 AI 가상 직원 - 주아 차장, 29세 여성 (콘텐츠 사업 총괄 - 운영 PM).md",8dc328675381f39f7d73d4bb491c16510eb96d9e58a988098afd1d4c041d7a3d,8,0
771,2026-05-08T04:29:04+09:00,👩🏻‍🤝‍🧑🏻 Vento Crew,"AI 가상 직원 - 길주 부장, 32세 남성 (플랫폼/자동화 기술)",https://agapeuni.tistory.com/771,"32 블로그/티스토리 Vento AI Lab/글/👩🏻‍🤝‍🧑🏻 Vento Crew/2026-05-08 771 AI 가상 직원 - 길주 부장, 32세 남성 (플랫폼-자동화 기술).md",e668e09c1db767782f80ce21167ca97c35029560c6b30b9f32657d1e40844bf4,8,0
